ISO3,2025,2027,2030,2035,2040,2045,2050,Delta_2025_2050
AUT,0.9241,1.2027,1.439,1.5938,1.0901,0.2311,-0.368,-1.2921
AUS,-0.7732,-0.986,-1.1852,-1.3178,-1.266,-1.0776,-0.8707,-0.0975
BEL,0.7563,0.7212,0.5686,0.1228,-0.463,-0.8891,-0.9728,-1.7291
CAN,0.6213,0.2882,-0.1866,-0.9105,-1.3047,-1.1688,-0.576,-1.1973
CHE,0.3606,0.4635,0.7293,1.0595,0.8788,0.2119,-0.4523,-0.8129
DEU,1.28,1.5862,1.6906,1.3594,0.4632,-0.6473,-1.2038,-2.4838
DNK,0.3259,-0.0747,-0.4336,-0.6843,-0.7884,-0.9066,-0.9141,-1.24
ESP,1.5879,1.9021,2.2876,2.5691,2.1228,1.0841,-0.2739,-1.8618
FIN,1.0465,0.4925,-0.254,-0.9716,-1.1461,-0.8926,-0.3201,-1.3666
FRA,0.6281,0.3412,-0.2475,-1.1453,-1.8376,-2.2166,-2.3325,-2.9606
GBR,-0.0163,-0.176,-0.3823,-0.5259,-0.6766,-0.8109,-0.816,-0.7997
GRC,1.5322,1.7022,1.9341,2.0378,1.6241,0.7846,-0.4594,-1.9915
IRL,-0.2058,-0.0976,0.0277,0.0974,0.0759,0.004,-0.1994,0.0064
ITA,2.0378,2.1651,2.2608,2.2022,1.5029,0.2276,-1.1254,-3.1632
JPN,0.4188,0.0044,-0.481,-0.4292,-0.1251,-0.3519,-1.4095,-1.8282
KOR,3.1492,3.494,3.7283,3.5688,2.7415,1.8442,0.9964,-2.1528
NLD,1.0531,0.6466,0.1567,-0.393,-0.7455,-0.8954,-0.7412,-1.7944
NOR,0.0577,-0.1535,-0.2945,-0.3448,-0.2741,-0.1785,-0.1904,-0.2481
NZL,-0.1858,-0.3565,-0.5315,-0.7649,-0.9306,-0.9164,-0.6543,-0.4686
PRT,1.6359,1.5048,1.3252,0.9577,0.5039,-0.0994,-0.9094,-2.5453
SWE,-0.5976,-0.7876,-0.9247,-0.8349,-0.704,-0.6667,-0.6123,-0.0148
USA,0.3267,0.0282,-0.4338,-1.1676,-1.5702,-1.4225,-0.902,-1.2286
CHN,1.937,2.3365,2.8456,3.125,3.2985,2.917,2.4524,0.5154
IND,-3.603,-3.559,-3.3535,-2.7755,-1.7509,-0.4827,0.6794,4.2824
BRA,-1.4236,-1.2238,-0.845,-0.1901,0.5909,1.4101,2.0482,3.4718
MEX,-3.1516,-3.009,-2.6938,-2.1052,-1.3528,-0.5136,0.2321,3.3837
RUS,1.1476,1.3368,1.3034,0.9702,0.6742,0.7596,0.967,-0.1805
ZAF,-4.8845,-4.7832,-4.4987,-3.8132,-2.8714,-1.9192,-1.2018,3.6827
IDN,-2.7148,-2.4645,-2.0037,-1.3409,-0.6854,-0.0398,0.4732,3.188
THA,1.2971,1.5122,1.7377,1.7199,1.4628,1.1461,0.8478,-0.4493
MYS,-3.3033,-3.2099,-2.9752,-2.3851,-1.3661,-0.0851,1.1505,4.4538
POL,1.157,1.1985,1.1223,1.1107,1.7036,2.7921,3.3967,2.2397
TUR,-1.6824,-1.4162,-0.9978,-0.2907,0.656,1.551,2.3375,4.0199
CHL,-0.7386,-0.6292,-0.4344,-0.1037,0.4692,1.2171,1.9243,2.6629
